,Brands,Models,Battery,OriginalPrice,DiscountedPrice,Discount,Rating,Reviews
619,,,,,,,4,
620,,,,,,,1,
621,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
622,GOBOULT,GOBOULT Y1 with,50,"₹5,499",₹699,87%,4.1,"(5,57,237)"
623,AirBorne,AirBorne Groove Buds,48,"₹3,499",₹959,72%,3.3,(3)
624,HOPPUP,HOPPUP AirDoze F51,40,"₹4,999",₹599,88%,3.9,(780)
625,PTROX,PTROX Ultrabuds with,40,"₹1,999",₹599,70%,3.9,"(2,341)"
626,truke,truke Buds Liberty,60,"₹6,999","₹1,599",77%,4.1,"(2,10,839)"
627,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4,"(12,267)"
628,TRIGGR,TRIGGR Ultrabuds N4,,"₹1,999",₹599,70%,4.2,"(11,439)"
629,moto,moto buds with,42,"₹7,999","₹2,299",71%,4,"(82,529)"
630,One7,One7 ON-1000 24,24,"₹1,599",₹713,55%,4,"(42,234)"
631,TRIGGR,TRIGGR Kraken X1,,"₹3,999",₹799,80%,3.9,"(5,555)"
632,TRIGGR,TRIGGR Kraken X4,,"₹3,999",₹799,80%,3.7,(190)
633,truke,truke Buds Elite,70,"₹2,299",₹599,73%,4.2,(790)
634,HOPPUP,HOPPUP AirDoze 402,50,"₹4,999",₹999,80%,3.7,(3)
635,truke,truke Aura Pro,60,"₹2,799",₹899,67%,4.1,"(2,10,839)"
636,PTROX,PTROX Ultrabuds with,40,"₹1,999",₹599,70%,4,"(4,464)"
637,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,3.7,(156)
638,TRIGGR,TRIGGR Ultrabuds N5,40,"₹2,999",₹599,80%,4.1,"(12,069)"
639,ZEBRONICS,ZEBRONICS Pods 141,35,"₹4,199",₹899,78%,4.2,"(55,513)"
640,PTron,PTron Bassbuds Vibe,34,"₹2,899",₹599,79%,4.1,"(12,069)"
641,GOBOULT,GOBOULT Mustang Torq,60,"₹5,999","₹1,799",70%,3.9,"(24,846)"
642,PTron,PTron Bassbuds Vibe,34,"₹2,899",₹599,79%,3.9,"(33,260)"
643,GOBOULT,GOBOULT Maverick with,35,"₹4,499",₹799,82%,3.9,"(23,615)"
644,Mivi,Mivi DuoPods K5,,"₹3,999",₹699,82%,3.8,"(15,352)"
645,GOBOULT,GOBOULT W10 55H,55,"₹2,499",₹799,68%,4,"(1,06,270)"
646,GOBOULT,GOBOULT Ammo 40H,40,"₹4,999",₹799,84%,4,"(42,234)"
